Endpoint,Category,HTTP Verb/Method,Description,"SuccessResponse ",Errorresponse,Property," 1",ErrorResponse,SuccessResponse
"
  /api/bookcondition/update/price/{ranks}
  ",Book Condition,GET,"
  Get book condition with given ranks
  ","
  Book condition
  ",,,,,
"
  /api/bookcondition/update/fullDescription/{ranks}
  ",Book Condition,PUT,"
  Update description with given ranks
  ",,,,,,
"
  /api/bookcondition/update/description/{ranks}
  ",Book Condition,PUT,"
  Update full description with
  given ranks
  ",,,,,,
"
  /api/bookcondition/{ranks}
  ",Book Condition,PUT,"
  Update price with given ranks
  ",,,,,,
"
  /api/category/post
  ",Category,POST,"
  Add new category object
  ","
  String: category added successfully
  ",,,,,
"
  /api/category/update/description/{catId}
  ",Category,GET,"
  Get category with given id
  ","
  Category
  ",,,,,
"
  /api/category/{catId}
  ",Category,PUT,"
  Update description with given Id
  ","
  Category
  ",,,,,
"
  /api/shoppingcart/post
  ",Shopping Cart,POST,"
  Add new  shopping cart object
  ","
  String: Shopping cart added successfully
  ",,,,,
"
/api/ shoppingcart /{userId}",Shopping Cart,GET,"
  Get cart with given id
  ","
  Shopping cart
  ",,,,,
/api/ shoppingcart /update/isbn/{userId},Shopping Cart,PUT,"
  Update isbn with given Id
  ","
  Shopping cart
  ",,,,,
"
  /api/purchaselog/post
  ",Purchase Log,POST,"
  Add new  purchaselog object
  ","
  String: Purchase Log added successfully
  ",,,,,
"
  /api/purchaselog/{userId}
  ",Purchase Log,GET,"
  Get purchase log for the given
  userid
  ","
  Purchase Log
  ",,,,,
"
  /api/purchaselog/update/inventoryid/{userId}
  ",Purchase Log,PUT,"
  Update inventory Id of purchase
  log given user id
  ","
  Purchase log
  ",,,,,
"
  /api/permrole/post
  ",Perm Role,POST,"
  Add new permrole object
  ","{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Perm Role added successfully""
}","{
  ""code"": ADDFAILS"",
  ""message"":Perm Role already exist""
}",,,,
"
  /api/permrole/update/permeole/{rolenumber}
  ",Perm Role,GET,"
  Get permrole object for the
  given rollnumber
  ","
  Permrole object
  ",,,,,
"
  /api/permrole/{rolenumber}
  ",Perm Role,PUT,"
  Update perm role of a given role
  number
  ",,,,,,
